customer_ID,product_ID,Transaction Type,Category,Amt (in dollars),Payment Date,Payment Mode
CUST2025BK,272,Food Delivery,Uber Eats,90.12,12/04/2025,Credit Card
CUST2025CU,207,Camera Equipment,Sony Alpha,3098.02,12/01/2025,Debit Card
CUST2025JT,215,Camera Equipment,Canon EOS,2995.72,07/17/2025,Google Pay
CUST2025GI,254,Luxury Travel Booking,Maldives Retreat,3046.43,02/06/2025,Debit Card
CUST2025EK,202,Luxury Travel Booking,Paris Vacation,17902.84,11/02/2025,PayPal
CUST2025BJ,227,Camera Equipment,Nikon Z6,4179.89,05/24/2025,Debit Card
CUST2025GZ,269,Food Delivery,Uber Eats,76.46,11/17/2025,Credit Card
CUST2025QO,258,Luxury Shopping,Prada,6557.08,01/13/2025,Credit Card
CUST2025YS,222,Grocery Shopping,Trader Joe's,214.19,10/16/2025,Apple Pay
CUST2025YT,256,Hotel Stay,Hilton,1404.02,08/31/2025,Credit Card
CUST2025ZW,297,Grocery Shopping,Trader Joe's,190.16,01/01/2025,Credit Card
CUST2025RA,290,BNPL Purchase,Smart TV,2048.01,12/05/2025,Debit Card
CUST2025ZY,268,BNPL Purchase,Smart TV,2017.33,12/04/2025,Google Pay
CUST2025BF,248,Luxury Travel Booking,Paris Vacation,5439.66,11/02/2025,Credit Card
CUST2025UI,249,Camera Equipment,Nikon Z6,3116.03,04/30/2025,Credit Card
CUST2025RK,215,Luxury Shopping,Louis Vuitton,3891.84,02/19/2025,PayPal
CUST2025DM,264,Retail Space Lease,New Flagship Store,160473.34,05/28/2025,Apple Pay
CUST2025LL,239,Retail Space Lease,Pop-up Storefront,132760.14,09/13/2025,Credit Card
CUST2025KD,253,Food Delivery,DoorDash,81.98,04/20/2025,Google Pay
CUST2025NK,238,Luxury Shopping,Prada,7892.89,01/08/2025,Google Pay
CUST2025BA,284,BNPL Purchase,MacBook,1643.18,06/09/2025,Credit Card
CUST2025WP,253,Luxury Travel Booking,Paris Vacation,15475.2,05/11/2025,Debit Card
CUST2025NS,261,BNPL Purchase,MacBook,881.95,12/05/2025,Debit Card
CUST2025YU,277,Hotel Stay,Hilton,405.48,07/17/2025,Google Pay
CUST2025SA,255,Camera Equipment,Canon EOS,4349.13,01/10/2025,Google Pay
CUST2025BA,298,Gym Membership,Gold's Gym,135.96,02/17/2025,Credit Card
CUST2025AY,297,Food Delivery,Uber Eats,74.22,09/25/2025,PayPal
CUST2025EG,224,Retail Space Lease,New Flagship Store,103719.12,03/01/2025,Google Pay
CUST2025BS,258,Gym Membership,Planet Fitness,159.58,03/21/2025,PayPal
CUST2025IF,249,BNPL Purchase,iPhone,1864.58,04/27/2025,PayPal
CUST2025XC,228,Gym Membership,Equinox,101.4,09/04/2025,Debit Card
CUST2025LK,286,BNPL Purchase,iPhone,1746.03,10/26/2025,Debit Card
CUST2025OR,283,Camera Equipment,Nikon Z6,3518.35,02/17/2025,PayPal
CUST2025LI,245,Grocery Shopping,Whole Foods,304.7,04/18/2025,Apple Pay
CUST2025YK,223,Grocery Shopping,Walmart,451.31,02/10/2025,Apple Pay
CUST2025JU,238,Luxury Shopping,Prada,4365.95,01/28/2025,Debit Card
CUST2025MQ,285,Luxury Shopping,Gucci,2268.43,10/18/2025,Credit Card
CUST2025MC,279,Food Delivery,GrubHub,50.49,05/10/2025,Debit Card
CUST2025AL,216,Camera Equipment,Canon EOS,953.06,02/21/2025,Apple Pay
CUST2025IO,276,Food Delivery,GrubHub,73.52,01/03/2025,PayPal
CUST2025YT,245,Food Delivery,DoorDash,26.31,05/29/2025,PayPal
CUST2025US,243,Grocery Shopping,Walmart,320.35,07/02/2025,PayPal
CUST2025BS,256,Food Delivery,DoorDash,61.62,08/22/2025,Debit Card
CUST2025US,250,BNPL Purchase,MacBook,627.33,12/23/2025,Google Pay
CUST2025WH,225,Retail Space Lease,Pop-up Storefront,429596.02,09/28/2025,Debit Card
CUST2025JS,223,Luxury Shopping,Prada,4390.85,04/13/2025,Credit Card
CUST2025EY,222,Retail Space Lease,Pop-up Storefront,477737.82,11/06/2025,Debit Card
CUST2025BV,247,Camera Equipment,Nikon Z6,3647.41,06/29/2025,PayPal
CUST2025KD,233,Hotel Stay,Hilton,2626.58,04/08/2025,Credit Card
CUST2025SV,258,Hotel Stay,Hilton,2929.14,06/06/2025,Google Pay
CUST2025AW,272,Camera Equipment,Nikon Z6,3702.88,01/14/2025,Apple Pay
CUST2025ND,262,Food Delivery,Uber Eats,98.44,09/12/2025,Credit Card
CUST2025QE,209,Luxury Shopping,Louis Vuitton,3305.84,03/21/2025,PayPal
CUST2025ZX,235,BNPL Purchase,iPhone,1410.73,10/01/2025,PayPal
CUST2025WE,235,Retail Space Lease,New Flagship Store,152449.11,10/19/2025,Google Pay
CUST2025JT,273,Hotel Stay,Maldives Resort,2153.39,02/24/2025,Google Pay
CUST2025QP,261,Luxury Travel Booking,London Business Trip,17963.73,05/13/2025,PayPal
CUST2025CM,235,BNPL Purchase,MacBook,1503.3,09/18/2025,Apple Pay
CUST2025AQ,238,Grocery Shopping,Whole Foods,419.18,07/24/2025,Debit Card
CUST2025WU,252,BNPL Purchase,MacBook,788.62,05/10/2025,Credit Card
CUST2025NM,257,Grocery Shopping,Walmart,354.75,07/06/2025,Credit Card
CUST2025HY,212,Gym Membership,Gold's Gym,72.14,06/28/2025,Apple Pay
CUST2025NV,283,BNPL Purchase,MacBook,577.07,12/18/2025,Apple Pay
CUST2025SX,293,Luxury Shopping,Gucci,7829.36,08/26/2025,Google Pay
CUST2025WE,234,Grocery Shopping,Trader Joe's,293.07,01/09/2025,Google Pay
CUST2025LV,217,Luxury Travel Booking,Maldives Retreat,7774.16,11/08/2025,Credit Card
CUST2025GG,235,Luxury Travel Booking,London Business Trip,4063.1,12/14/2025,Debit Card
CUST2025ID,217,BNPL Purchase,Smart TV,895.88,06/21/2025,Google Pay
CUST2025GX,262,Retail Space Lease,New Flagship Store,346076.98,08/05/2025,PayPal
CUST2025RX,229,Luxury Travel Booking,Maldives Retreat,17275.35,06/14/2025,Apple Pay
CUST2025FS,202,Luxury Shopping,Prada,2702.62,09/09/2025,Apple Pay
CUST2025VU,236,Hotel Stay,Maldives Resort,2432.59,02/21/2025,Google Pay
CUST2025OE,268,Camera Equipment,Nikon Z6,1676.18,08/24/2025,Apple Pay
CUST2025AA,241,Food Delivery,GrubHub,56.57,02/20/2025,PayPal
CUST2025AW,202,Food Delivery,GrubHub,30.41,09/22/2025,Credit Card
CUST2025KI,214,Subscription Payment,Amazon Prime,30.91,11/25/2025,Google Pay
CUST2025BJ,280,Subscription Payment,Netflix,19.25,07/07/2025,Credit Card
CUST2025BA,214,Food Delivery,Uber Eats,79.13,12/25/2025,Google Pay
CUST2025QD,269,Gym Membership,Planet Fitness,90.47,11/08/2025,Debit Card
CUST2025JP,279,Grocery Shopping,Whole Foods,205.2,11/20/2025,Credit Card
CUST2025DS,223,BNPL Purchase,MacBook,2612.46,11/10/2025,Credit Card
CUST2025FD,228,Hotel Stay,Ritz-Carlton,1390.44,09/03/2025,Google Pay
CUST2025UM,286,Hotel Stay,Maldives Resort,1465.04,10/22/2025,Apple Pay
CUST2025NU,241,Luxury Travel Booking,Paris Vacation,4868.55,05/21/2025,PayPal
CUST2025QY,243,BNPL Purchase,iPhone,1849.58,05/09/2025,Google Pay
CUST2025GJ,243,Luxury Shopping,Louis Vuitton,7686.65,04/14/2025,Google Pay
CUST2025AW,286,Luxury Shopping,Louis Vuitton,2928.87,03/08/2025,Debit Card
CUST2025UU,294,BNPL Purchase,Smart TV,1752.48,11/12/2025,Credit Card
CUST2025JU,265,Luxury Shopping,Gucci,9216.87,01/06/2025,PayPal
CUST2025ZQ,209,Hotel Stay,Ritz-Carlton,1011.5,05/18/2025,Debit Card
CUST2025CE,211,BNPL Purchase,Smart TV,928.76,11/24/2025,Credit Card
CUST2025QP,268,Luxury Shopping,Prada,6838.3,08/24/2025,Debit Card
CUST2025EE,240,Food Delivery,Uber Eats,15.15,02/02/2025,Apple Pay
CUST2025EP,264,Luxury Travel Booking,Maldives Retreat,2385.3,10/07/2025,Debit Card
CUST2025GU,217,BNPL Purchase,iPhone,2953.71,11/18/2025,Google Pay
CUST2025NW,280,Luxury Shopping,Gucci,3285.03,09/05/2025,Google Pay
CUST2025FJ,230,Subscription Payment,Amazon Prime,14.41,09/15/2025,Apple Pay
CUST2025GN,210,BNPL Purchase,MacBook,2326.27,07/24/2025,Debit Card
CUST2025JQ,273,Retail Space Lease,New Flagship Store,178408.95,02/21/2025,Apple Pay
CUST2025FO,263,Retail Space Lease,New Flagship Store,77899.97,03/21/2025,Debit Card
CUST2025XU,260,Hotel Stay,Hilton,1769.13,10/29/2025,PayPal
CUST2025RE,293,Grocery Shopping,Trader Joe's,198.06,11/29/2025,Apple Pay
CUST2025OG,214,BNPL Purchase,Smart TV,1750.59,09/16/2025,PayPal
CUST2025YE,202,Luxury Travel Booking,London Business Trip,2970.41,10/15/2025,PayPal
CUST2025YI,267,Food Delivery,Uber Eats,40.2,02/18/2025,Apple Pay
CUST2025QS,266,Luxury Travel Booking,Maldives Retreat,8584.62,02/03/2025,Google Pay
CUST2025BL,299,Subscription Payment,Netflix,6.28,11/13/2025,Credit Card
CUST2025YE,241,Retail Space Lease,Pop-up Storefront,464482.18,05/15/2025,Google Pay
CUST2025SY,258,Food Delivery,DoorDash,49.53,09/05/2025,Debit Card
CUST2025EG,207,Gym Membership,Planet Fitness,119.48,11/29/2025,PayPal
CUST2025TO,270,BNPL Purchase,Smart TV,1465.54,12/28/2025,PayPal
CUST2025DU,264,Subscription Payment,Spotify,23.84,06/20/2025,Debit Card
CUST2025XP,274,BNPL Purchase,MacBook,910.3,09/22/2025,Apple Pay
CUST2025DO,241,Gym Membership,Equinox,183.12,01/17/2025,Apple Pay
CUST2025OM,241,Luxury Shopping,Gucci,7786.45,09/02/2025,Debit Card
CUST2025QF,218,Camera Equipment,Sony Alpha,605.95,08/04/2025,PayPal
CUST2025MP,212,Luxury Travel Booking,London Business Trip,17414.48,04/04/2025,Google Pay
CUST2025UA,289,Luxury Shopping,Prada,3728.74,02/16/2025,Credit Card
CUST2025QA,271,Food Delivery,DoorDash,83.33,03/14/2025,Debit Card
CUST2025DJ,259,Luxury Travel Booking,London Business Trip,9713.1,02/24/2025,Debit Card
CUST2025HB,207,Retail Space Lease,Pop-up Storefront,220926.01,01/29/2025,Debit Card
CUST2025TK,296,Gym Membership,Gold's Gym,187.61,10/04/2025,Google Pay
CUST2025PY,238,Grocery Shopping,Walmart,495.32,07/18/2025,Apple Pay
CUST2025GY,292,Grocery Shopping,Trader Joe's,83.88,06/17/2025,PayPal
CUST2025UY,233,Gym Membership,Gold's Gym,66.18,01/19/2025,Google Pay
CUST2025GC,255,Gym Membership,Gold's Gym,131.1,01/21/2025,Apple Pay
CUST2025HX,295,Gym Membership,Planet Fitness,112.95,11/22/2025,Credit Card
CUST2025PK,299,BNPL Purchase,MacBook,2093.72,10/28/2025,Debit Card
CUST2025FA,243,Luxury Shopping,Gucci,5825.96,01/07/2025,Apple Pay
CUST2025GT,265,Subscription Payment,Spotify,38.82,09/11/2025,Credit Card
CUST2025PN,285,Camera Equipment,Nikon Z6,4699.95,05/20/2025,Debit Card
CUST2025QH,281,Gym Membership,Planet Fitness,55.57,12/19/2025,Google Pay
CUST2025XV,243,BNPL Purchase,MacBook,2685.72,04/30/2025,Debit Card
CUST2025AZ,255,Gym Membership,Gold's Gym,34.46,06/11/2025,PayPal
CUST2025YU,278,Gym Membership,Gold's Gym,196.79,05/26/2025,Apple Pay
CUST2025LH,264,Grocery Shopping,Walmart,234.7,09/13/2025,Apple Pay
CUST2025XQ,255,Grocery Shopping,Trader Joe's,466.15,03/02/2025,Credit Card
CUST2025WP,293,Grocery Shopping,Trader Joe's,173.08,04/17/2025,Apple Pay
CUST2025ZS,269,BNPL Purchase,MacBook,1598.53,12/01/2025,Google Pay
CUST2025RT,259,Subscription Payment,Netflix,15.8,11/05/2025,Debit Card
CUST2025RK,202,Grocery Shopping,Trader Joe's,271.92,02/28/2025,Credit Card
CUST2025XD,226,Food Delivery,GrubHub,30.71,12/17/2025,Google Pay
CUST2025VM,286,Subscription Payment,Spotify,22.6,10/10/2025,Credit Card
CUST2025WD,284,Subscription Payment,Amazon Prime,14.21,11/07/2025,Google Pay
CUST2025JW,200,Camera Equipment,Nikon Z6,2274.61,02/11/2025,PayPal
CUST2025YR,267,BNPL Purchase,iPhone,2926.6,12/14/2025,Google Pay
CUST2025CN,258,Food Delivery,DoorDash,30.6,01/14/2025,PayPal
CUST2025DT,217,Grocery Shopping,Whole Foods,480.29,07/30/2025,Debit Card
CUST2025VS,292,Subscription Payment,Spotify,24.86,12/10/2025,Google Pay
CUST2025MN,213,Retail Space Lease,New Flagship Store,443029.01,01/05/2025,Apple Pay
CUST2025XX,237,Food Delivery,GrubHub,51.41,02/24/2025,Apple Pay
CUST2025MR,230,Luxury Travel Booking,Paris Vacation,9498.3,07/03/2025,PayPal
CUST2025RB,234,Hotel Stay,Hilton,1665.42,04/12/2025,Apple Pay
CUST2025HS,276,BNPL Purchase,Smart TV,1130.79,09/06/2025,Apple Pay
CUST2025PZ,226,BNPL Purchase,iPhone,705.68,10/31/2025,Google Pay
CUST2025YO,225,Luxury Shopping,Prada,8788.66,05/10/2025,Google Pay
CUST2025NC,297,Luxury Shopping,Prada,2284.06,10/04/2025,Apple Pay
CUST2025DE,285,Luxury Travel Booking,London Business Trip,2304.38,06/29/2025,Google Pay
CUST2025RX,270,Luxury Shopping,Gucci,7915.48,10/20/2025,Debit Card
CUST2025SU,272,Retail Space Lease,New Flagship Store,205450.97,05/13/2025,Apple Pay
CUST2025XG,225,Camera Equipment,Canon EOS,971.32,01/17/2025,PayPal
CUST2025UR,232,Luxury Shopping,Prada,3068.9,01/05/2025,Google Pay
CUST2025MD,204,Camera Equipment,Canon EOS,4052.6,09/20/2025,Apple Pay
CUST2025XI,277,Luxury Travel Booking,London Business Trip,15927.96,12/06/2025,PayPal
CUST2025XP,284,Luxury Shopping,Gucci,4600.41,03/03/2025,Apple Pay
CUST2025ZD,245,Gym Membership,Gold's Gym,154.9,02/02/2025,Apple Pay
CUST2025QH,294,Camera Equipment,Nikon Z6,3357.33,11/21/2025,Apple Pay
CUST2025OB,247,Retail Space Lease,Pop-up Storefront,138614.62,08/20/2025,Apple Pay
CUST2025SL,258,Camera Equipment,Nikon Z6,2704.27,09/23/2025,PayPal
CUST2025FC,215,Retail Space Lease,New Flagship Store,111195.79,07/12/2025,PayPal
CUST2025AP,250,Subscription Payment,Netflix,18.19,11/13/2025,Debit Card
CUST2025SQ,211,Hotel Stay,Ritz-Carlton,717.78,01/12/2025,Apple Pay
CUST2025IT,201,Subscription Payment,Netflix,25.4,07/03/2025,Debit Card
CUST2025YF,276,Food Delivery,DoorDash,36.51,08/06/2025,Apple Pay
CUST2025AL,290,BNPL Purchase,Smart TV,1921.8,02/25/2025,Apple Pay
CUST2025DJ,292,Gym Membership,Equinox,76.66,05/21/2025,Google Pay
CUST2025WN,200,Camera Equipment,Nikon Z6,2665.89,04/25/2025,Apple Pay
CUST2025DU,298,Grocery Shopping,Whole Foods,22.29,11/11/2025,PayPal
CUST2025RQ,275,Luxury Shopping,Prada,8931.58,06/07/2025,Google Pay
CUST2025PI,292,Hotel Stay,Ritz-Carlton,1392.08,04/22/2025,PayPal
CUST2025QJ,222,Retail Space Lease,New Flagship Store,379022.87,03/13/2025,Credit Card
CUST2025FA,251,Luxury Travel Booking,Maldives Retreat,9510.8,10/19/2025,Apple Pay
CUST2025NH,300,Hotel Stay,Maldives Resort,1281.07,05/08/2025,Google Pay
CUST2025NN,220,Luxury Shopping,Louis Vuitton,3887.0,02/20/2025,Credit Card
CUST2025PT,208,Hotel Stay,Hilton,2372.41,07/08/2025,PayPal
CUST2025KV,242,Grocery Shopping,Walmart,225.02,01/02/2025,Google Pay
CUST2025NJ,286,BNPL Purchase,MacBook,2106.01,06/17/2025,Credit Card
CUST2025BP,218,Grocery Shopping,Walmart,455.88,10/11/2025,Credit Card
CUST2025UJ,211,Gym Membership,Equinox,196.22,11/25/2025,Debit Card
CUST2025KZ,233,Luxury Travel Booking,London Business Trip,10080.89,07/29/2025,PayPal
CUST2025WT,221,BNPL Purchase,Smart TV,2301.91,07/24/2025,PayPal
CUST2025EJ,229,Gym Membership,Planet Fitness,196.61,08/01/2025,Credit Card
CUST2025UQ,247,Subscription Payment,Netflix,40.54,08/13/2025,PayPal
CUST2025IW,224,Luxury Travel Booking,Paris Vacation,7585.45,03/01/2025,Debit Card
CUST2025PJ,225,Luxury Shopping,Gucci,9063.88,03/02/2025,Debit Card
CUST2025RA,300,Camera Equipment,Canon EOS,3176.94,12/03/2025,Debit Card
CUST2025CL,206,Luxury Shopping,Prada,7333.91,12/09/2025,PayPal
CUST2025BE,280,Grocery Shopping,Trader Joe's,415.66,02/25/2025,Apple Pay
CUST2025UC,206,Luxury Travel Booking,Maldives Retreat,12436.5,12/17/2025,PayPal
CUST2025CT,207,Gym Membership,Gold's Gym,63.33,04/18/2025,Google Pay
CUST2025LR,214,Camera Equipment,Canon EOS,1438.11,02/18/2025,Debit Card
CUST2025IG,210,Grocery Shopping,Trader Joe's,40.88,03/04/2025,PayPal
CUST2025TO,224,Gym Membership,Gold's Gym,167.04,11/06/2025,Credit Card
CUST2025OX,289,BNPL Purchase,iPhone,1839.07,10/04/2025,Debit Card
CUST2025TA,289,Grocery Shopping,Trader Joe's,91.4,09/18/2025,Google Pay
CUST2025JF,264,Food Delivery,DoorDash,68.08,10/17/2025,Debit Card
CUST2025GV,297,Subscription Payment,Spotify,15.49,01/09/2025,PayPal
CUST2025GX,271,Gym Membership,Gold's Gym,106.16,04/27/2025,Apple Pay
CUST2025CU,249,Subscription Payment,Netflix,20.58,01/04/2025,Apple Pay
CUST2025AU,282,Retail Space Lease,Pop-up Storefront,300624.55,08/21/2025,PayPal
CUST2025QO,290,Gym Membership,Planet Fitness,152.84,02/20/2025,PayPal
CUST2025FV,217,Retail Space Lease,New Flagship Store,52250.39,03/22/2025,Debit Card
CUST2025KX,296,BNPL Purchase,MacBook,1737.23,10/03/2025,Debit Card
CUST2025FC,248,Grocery Shopping,Trader Joe's,120.85,07/20/2025,PayPal
CUST2025LL,220,BNPL Purchase,iPhone,2783.07,06/09/2025,Debit Card
CUST2025LE,230,BNPL Purchase,iPhone,2000.68,07/07/2025,PayPal
CUST2025IF,251,BNPL Purchase,iPhone,2483.84,02/12/2025,Google Pay
CUST2025ME,271,Hotel Stay,Ritz-Carlton,914.4,08/03/2025,Debit Card
CUST2025SY,300,Food Delivery,Uber Eats,36.8,06/05/2025,PayPal
CUST2025HZ,293,Grocery Shopping,Whole Foods,174.05,07/31/2025,Credit Card
CUST2025DN,225,Hotel Stay,Ritz-Carlton,1002.14,12/28/2025,Credit Card
CUST2025NY,235,Retail Space Lease,Pop-up Storefront,438231.25,01/25/2025,PayPal
CUST2025KT,255,Retail Space Lease,New Flagship Store,55882.67,02/08/2025,Apple Pay
CUST2025LB,278,Food Delivery,DoorDash,55.32,08/22/2025,Debit Card
CUST2025MW,260,Gym Membership,Gold's Gym,189.13,01/09/2025,Credit Card
CUST2025MY,202,Luxury Shopping,Gucci,5041.11,03/04/2025,Credit Card
CUST2025EA,257,Luxury Shopping,Prada,2274.67,02/01/2025,PayPal
CUST2025TD,244,Retail Space Lease,Pop-up Storefront,126130.37,01/08/2025,Credit Card
CUST2025OH,208,Hotel Stay,Maldives Resort,2118.15,04/25/2025,Apple Pay
CUST2025UY,245,Grocery Shopping,Trader Joe's,324.92,04/29/2025,Apple Pay
CUST2025FV,274,Retail Space Lease,New Flagship Store,295816.73,06/25/2025,Apple Pay
CUST2025GJ,266,Luxury Shopping,Gucci,9880.07,03/20/2025,Debit Card
CUST2025XV,223,Food Delivery,DoorDash,20.02,01/22/2025,Credit Card
CUST2025DH,206,Subscription Payment,Spotify,12.37,02/07/2025,Apple Pay
CUST2025XA,204,Gym Membership,Planet Fitness,159.66,11/01/2025,PayPal
CUST2025TJ,298,Hotel Stay,Hilton,702.35,02/21/2025,Credit Card
CUST2025OS,260,Luxury Travel Booking,Paris Vacation,13676.41,04/10/2025,Debit Card
CUST2025OB,207,Hotel Stay,Maldives Resort,2707.05,02/23/2025,Google Pay
CUST2025YB,247,BNPL Purchase,Smart TV,1099.51,02/12/2025,PayPal
CUST2025HP,271,Grocery Shopping,Whole Foods,401.85,11/07/2025,Apple Pay
CUST2025LS,233,BNPL Purchase,Smart TV,576.45,08/15/2025,Google Pay
CUST2025DK,254,Gym Membership,Gold's Gym,165.55,10/02/2025,Credit Card
CUST2025SJ,226,Food Delivery,DoorDash,62.94,07/26/2025,Debit Card
CUST2025BV,272,Camera Equipment,Nikon Z6,4218.76,06/03/2025,Google Pay
CUST2025JN,298,Food Delivery,DoorDash,37.58,06/30/2025,PayPal
CUST2025TG,237,Retail Space Lease,New Flagship Store,387373.91,11/17/2025,PayPal
CUST2025RJ,203,Hotel Stay,Ritz-Carlton,629.84,12/07/2025,PayPal
CUST2025KE,210,Subscription Payment,Amazon Prime,6.44,01/01/2025,Debit Card
CUST2025QX,219,BNPL Purchase,iPhone,2990.46,03/15/2025,Apple Pay
CUST2025HH,236,BNPL Purchase,iPhone,2538.17,05/07/2025,Credit Card
CUST2025BI,203,BNPL Purchase,Smart TV,2978.9,04/26/2025,Debit Card
CUST2025FK,221,Gym Membership,Planet Fitness,138.26,01/22/2025,Debit Card
CUST2025JW,238,Subscription Payment,Spotify,18.64,02/06/2025,PayPal
CUST2025VZ,250,Camera Equipment,Canon EOS,4989.04,07/11/2025,Debit Card
CUST2025NK,208,Retail Space Lease,Pop-up Storefront,187895.86,01/22/2025,Apple Pay
CUST2025ZD,201,Retail Space Lease,New Flagship Store,89698.81,11/03/2025,Credit Card
CUST2025WB,261,Subscription Payment,Amazon Prime,12.04,11/13/2025,PayPal
CUST2025QQ,276,Luxury Shopping,Prada,8057.61,03/07/2025,Debit Card
CUST2025WE,219,Grocery Shopping,Walmart,197.16,10/03/2025,Debit Card
CUST2025IA,261,Food Delivery,DoorDash,63.85,12/12/2025,Google Pay
CUST2025MX,221,Hotel Stay,Maldives Resort,2707.81,04/16/2025,Credit Card
CUST2025IY,211,Luxury Travel Booking,London Business Trip,14718.84,03/30/2025,Google Pay
CUST2025UJ,298,Hotel Stay,Hilton,2705.94,04/05/2025,Debit Card
CUST2025TI,273,BNPL Purchase,MacBook,2665.91,05/07/2025,Google Pay
CUST2025QK,271,Camera Equipment,Sony Alpha,2544.87,05/27/2025,Google Pay
CUST2025WD,274,Camera Equipment,Nikon Z6,1457.85,03/01/2025,Credit Card
CUST2025LP,223,Gym Membership,Planet Fitness,55.0,05/31/2025,Debit Card
CUST2025GU,284,BNPL Purchase,Smart TV,1364.63,12/12/2025,PayPal
CUST2025CS,267,Hotel Stay,Ritz-Carlton,865.1,10/04/2025,Apple Pay
CUST2025VU,257,Luxury Shopping,Louis Vuitton,9167.46,10/20/2025,Apple Pay
CUST2025NP,272,Grocery Shopping,Walmart,187.21,05/06/2025,Google Pay
CUST2025WU,276,Luxury Shopping,Louis Vuitton,4009.24,04/12/2025,PayPal
CUST2025DA,286,Retail Space Lease,New Flagship Store,458238.41,07/03/2025,Credit Card
CUST2025EW,256,BNPL Purchase,iPhone,547.29,04/05/2025,Credit Card
CUST2025LH,219,Hotel Stay,Hilton,2416.55,12/30/2025,PayPal
CUST2025XB,217,Food Delivery,GrubHub,95.85,11/03/2025,Debit Card
CUST2025TN,257,Camera Equipment,Canon EOS,915.96,08/09/2025,Apple Pay
CUST2025DB,202,Grocery Shopping,Walmart,449.05,06/24/2025,Google Pay
CUST2025HS,242,Retail Space Lease,New Flagship Store,92237.15,09/17/2025,Google Pay
CUST2025IC,296,Luxury Travel Booking,Maldives Retreat,18987.2,05/20/2025,Apple Pay
CUST2025WS,215,Subscription Payment,Spotify,46.24,11/18/2025,PayPal
CUST2025ZW,239,Luxury Travel Booking,Maldives Retreat,16959.23,12/15/2025,Google Pay
CUST2025RW,216,Camera Equipment,Nikon Z6,4236.61,08/31/2025,Credit Card
CUST2025ZB,228,BNPL Purchase,Smart TV,1429.26,03/30/2025,Google Pay
CUST2025RA,233,Camera Equipment,Canon EOS,2029.66,05/25/2025,PayPal
CUST2025BQ,276,Hotel Stay,Hilton,2167.93,08/12/2025,PayPal
CUST2025WF,289,Grocery Shopping,Whole Foods,170.61,05/26/2025,Apple Pay
CUST2025JK,287,Retail Space Lease,Pop-up Storefront,422218.11,01/26/2025,Debit Card
CUST2025UH,207,Grocery Shopping,Whole Foods,230.5,04/23/2025,Apple Pay
CUST2025ZS,276,Subscription Payment,Netflix,22.55,06/22/2025,PayPal
CUST2025VM,281,Luxury Travel Booking,Maldives Retreat,14212.5,04/19/2025,Apple Pay
CUST2025BU,231,Food Delivery,DoorDash,10.56,08/28/2025,Google Pay
CUST2025RO,287,Luxury Travel Booking,London Business Trip,15199.57,10/10/2025,Apple Pay
CUST2025IP,266,Gym Membership,Gold's Gym,192.66,10/07/2025,Google Pay
CUST2025BU,255,Hotel Stay,Maldives Resort,2845.42,04/08/2025,PayPal
CUST2025QQ,212,Gym Membership,Gold's Gym,39.17,04/08/2025,Apple Pay
CUST2025KJ,278,Luxury Shopping,Prada,9490.86,01/24/2025,Apple Pay
CUST2025SH,289,Luxury Travel Booking,London Business Trip,9119.9,01/10/2025,Apple Pay
CUST2025XU,242,Subscription Payment,Amazon Prime,15.08,04/02/2025,PayPal
CUST2025LA,296,Gym Membership,Gold's Gym,49.66,04/17/2025,Apple Pay
